sample	population	population_proportion	who_id	strain_code	clioc_id	other_id1	other_id2	source_geographic_region	country_code	source_country	source_state_or_region	source_town	host_code	host_species	coverage	coverage_rounded	...16	host_species_clean
SRR20748415	LI10	0.999875	MCAN/BR/2010/PV98	PV98	IOCL 3275	3275	PV98	Americas	BR	Brazil	Rio Grande do Norte	Natal	MCAN	Dog	0	0	NA	Dog
SRR20748414	LI10	0.99988	MCAN/BR/2010/PV99	PV99	IOCL 3276	3276	PV99	Americas	BR	Brazil	Rio Grande do Norte	Natal	MCAN	Dog	0	0	NA	Dog
SRR20748413	LI10	0.99988	MCAN/BR/2010/282-II	282-II	IOCL 3320	3320	282-II	Americas	BR	Brazil	Mato Grosso	NA	MCAN	NA	0	0	NA	NA
SRR20748412	LI11	0.931784	MHOM/BR/2012/AD4	AD4	IOCL 3374	3374	AD4	Americas	BR	Brazil	Minas Gerais	Belo Horizonte	MHOM	Human	0	0	NA	Human
SRR20748410	LI10	0.99988	MHOM/BR/2012/DIAG1502	DIAG1502	IOCL 3403	3403	DIAG1502	Americas	BR	Brazil	Rio Grande do Norte	Natal	MHOM	Human	0	0	NA	Human
SRR20748408	LI10	0.99988	MHOM/BR/2012/DIAG1551	DIAG1551	IOCL 3407	3407	DIAG1551	Americas	BR	Brazil	Rio Grande do Norte	Natal	MHOM	Human	0	0	NA	Human
SRR20748407	LI10	0.999874	MHOM/BR/2012/DIAG1586	DIAG1586	IOCL 3435	3435	DIAG1586	Americas	BR	Brazil	Rio Grande do Norte	Natal	MHOM	Human	0	0	NA	Human
SRR20748406	LI11	0.99988	MCAN/BR/2010/LSC_LOB	LSC_LOB	IOCL 3446	3446	LSC_LOB	Americas	BR	Brazil	Santa Catarina	Florianópolis	MCAN	Dog	0	0	NA	Dog
SRR20748403	LI10	0.99988	MCAN/BR/2014/CORAGEM	CORAGEM	IOCL 3537	3537	CORAGEM	Americas	BR	Brazil	São Paulo	São José do Rio Preto	MCAN	Dog	0	0	NA	Dog
SRR20748402	LI6	0.99988	MCAN/BR/2014/QUIKE	QUIKE	IOCL 3552	3552	QUIKE	Americas	BR	Brazil	São Paulo	Presidente Prudente	MCAN	Dog	0	0	NA	Dog
SRR20748401	LI12	0.99988	MCAN/BR/2014/17BAÇO	17BAÇO	IOCL 3554	3554	17BAÇO	Americas	BR	Brazil	Maranhão	NA	MCAN	NA	3.66600094318639	4	NA	NA
SRR20748399	LI12	0.99988	MCAN/BR/2014/18BAÇO	18BAÇO	IOCL 3555	3555	18BAÇO	Americas	BR	Brazil	Maranhão	NA	MCAN	NA	3.52370555340747	4	NA	NA
SRR20748398	LI12	0.97639	MCAN/BR/2014/18MEDULA	18MEDULA	IOCL 3556	3556	18MEDULA	Americas	BR	Brazil	Maranhão	São Luís	MCAN	Dog	3.63463485757354	4	NA	Dog
SRR20748396	LI10	0.965037	MCAN/BR/2014/21BAÇO	21BAÇO	IOCL 3558	3558	21BAÇO	Americas	BR	Brazil	Maranhão	NA	MCAN	NA	0	0	NA	NA
SRR20748395	LI12	0.99988	MCAN/BR/2014/POODLE-FÊMEA	POODLE-FÊMEA	IOCL 3559	3559	POODLE-FÊMEA	Americas	BR	Brazil	Maranhão	NA	MCAN	NA	3.38655431162466	3	NA	NA
SRR20748393	LI11	0.99988	MCAN/BR/2015/TUBO4	TUBO4	IOCL 3597	3597	TUBO4	Americas	BR	Brazil	Rio de Janeiro	Barra Mansa	MCAN	Dog	0	0	NA	Dog
SRR20748392	LI11	0.99988	MCAN/BR/2016/90	90	IOCL 3634	3634	90	Americas	BR	Brazil	Rio de Janeiro	Barra Mansa	MCAN	Dog	0	0	NA	Dog
SRR20748391	LI11	0.99988	MCAN/BR/2015/PACO	PACO	IOCL 3719	3719	PACO	Americas	BR	Brazil	Santa Catarina	Florianópolis	MCAN	Dog	0	0	NA	Dog
SRR20748390	LI11	0.99988	MCAN/BR/2010/LOBA	LOBA	IOCL 3722	3722	LOBA	Americas	BR	Brazil	Santa Catarina	Florianópolis	MCAN	Dog	0	0	NA	Dog
SRR20748388	LI11	0.99988	MCAN/BR/2015/LAIKA	LAIKA	IOCL 3733	3733	LAIKA	Americas	BR	Brazil	Santa Catarina	Florianópolis	MCAN	Dog	0	0	NA	Dog
SRR20748387	LI11	0.99988	MCAN/BR/2015/LUMA	LUMA	IOCL 3734	3734	LUMA	Americas	BR	Brazil	Santa Catarina	Florianópolis	MCAN	Dog	0	0	NA	Dog
SRR20748386	LI11	0.99988	MCAN/BR/2010/PONGO	PONGO	IOCL 3735	3735	PONGO	Americas	BR	Brazil	Santa Catarina	Florianópolis	MCAN	Dog	0	0	NA	Dog
SRR20748352	LI11	0.99988	MCAN/BR/2016/NICK	NICK	IOCL 3738	3738	NICK	Americas	BR	Brazil	Santa Catarina	Florianópolis	MCAN	Dog	0	0	NA	Dog
SRR20748351	LI11	0.99988	MCAN/BR/2015/BOMBOM	BOMBOM	IOCL 3739	3739	BOMBOM	Americas	BR	Brazil	Santa Catarina	Florianópolis	MCAN	Dog	0	0	NA	Dog
SRR20748350	LI11	0.99988	MCAN/BR/2015/SCOOBY	SCOOBY	IOCL 3741	3741	SCOOBY	Americas	BR	Brazil	Santa Catarina	Florianópolis	MCAN	Dog	0	0	NA	Dog
SRR20748349	LI6	0.99988	MCAN/BR/2010/CÃO	CÃO	IOCL 3742	3742	CÃO	Americas	BR	Brazil	Santa Catarina	NA	MCAN	NA	0	0	NA	NA
SRR20748347	LI11	0.99988	MCAN/BR/2015/BONECA	BONECA	IOCL 3744	3744	BONECA	Americas	BR	Brazil	Santa Catarina	Florianópolis	MCAN	Dog	0	0	NA	Dog
SRR20748345	LI11	0.99988	MCAN/BR/2015/GORKIM	GORKIM	IOCL 3750	3750	GORKIM	Americas	BR	Brazil	Santa Catarina	Florianópolis	MCAN	Dog	0	0	NA	Dog
SRR20748344	LI11	0.99988	MCAN/BR/2015/HANNA	HANNA	IOCL 3751	3751	HANNA	Americas	BR	Brazil	Santa Catarina	Florianópolis	MCAN	Dog	0	0	NA	Dog
SRR20748343	LI6	0.99988	MCAN/BR/2017/JUJU	JUJU	IOCL 3752	3752	JUJU	Americas	BR	Brazil	Santa Catarina	Florianópolis	MCAN	Dog	0	0	NA	Dog
SRR20748342	LI11	0.99988	MCAN/BR/2015/MAGRELO	MAGRELO	IOCL 3753	3753	MEGRELO	Americas	BR	Brazil	Santa Catarina	Florianópolis	MCAN	Dog	0	0	NA	Dog
SRR20748341	LI11	0.99988	MCAN/BR/2016/BOLA	BOLA	IOCL 3754	3754	BOLA	Americas	BR	Brazil	Santa Catarina	Florianópolis	MCAN	Dog	0	0	NA	Dog
SRR20748340	LI11	0.99988	MCAN/BR/2015/NICO	NICO	IOCL 3755	3755	NICO	Americas	BR	Brazil	Santa Catarina	Florianópolis	MCAN	Dog	0	0	NA	Dog
SRR20748459	LI6	0.99988	MHOM/BR/NA/6969P	6969P	NA	6969P	6969P	Americas	BR	Brazil	Piauí	NA	MHOM	NA	0.00391181102221039	0	NA	NA
SRR20748455	LI12	0.960439	MHOM/BR/2017/7024P	7024P	NA	7024P	7024P	Americas	BR	Brazil	Piauí	Piripiri	MHOM	Homo sapiens	3.64864044435569	4	NA	Human
SRR20748443	LI1	0.99988	MHOM/BR/NA/MG16C	MG16C	NA	MG16C	MG16C	Americas	BR	Brazil	Minas Gerais	NA	MHOM	Homo sapiens	0.0121842131159967	0	NA	Human
SRR20748442	LI1	0.99988	MHOM/BR/NA/MG18C	MG18C	NA	MG18C	MG18C	Americas	BR	Brazil	Minas Gerais	NA	MHOM	Homo sapiens	0.00720254169502936	0	NA	Human
SRR20748441	LI1	0.99988	MHOM/BR/1996/NDI-002	NDI-002	NA	NDI_002	NDI_002	Americas	BR	Brazil	Piauí	NA	MHOM	NA	0	0	NA	NA
SRR20748440	LI1	0.99988	MHOM/BR/1996/NDI-004	NDI-004	NA	NDI_004	NDI-004	Americas	BR	Brazil	Piauí	NA	MHOM	NA	0	0	NA	NA
SRR20748439	LI1	0.99988	MHOM/BR/1996/NDI-005	NDI-005	NA	NDI_005	NDI-005	Americas	BR	Brazil	Piauí	NA	MHOM	NA	0	0	NA	NA
SRR20748437	LI1	0.99988	MHOM/BR/1997/NDI-007	NDI-007	NA	NDI_007	NDI-007	Americas	BR	Brazil	Piauí	NA	MHOM	NA	0	0	NA	NA
SRR20748436	LI6	0.99988	MHOM/BR/1997/NDI-009	NDI-009	NA	NDI_009	NDI-009	Americas	BR	Brazil	Piauí	NA	MHOM	NA	0	0	NA	NA
SRR20748435	LI6	0.979939	MHOM/BR/1997/NDI-010	NDI-010	NA	NDI_010	NDI-010	Americas	BR	Brazil	Piauí	NA	MHOM	NA	0	0	NA	NA
SRR20748434	LI1	0.99988	MHOM/BR/1997/NDI-011	NDI-011	NA	NDI_011	NDI-011	Americas	BR	Brazil	Piauí	NA	MHOM	NA	0	0	NA	NA
