label	stat	win_start	n_snps	r_value	vcft_value	diff
AM9 LinJ.36 diploid	pi	300001	202	2.05263157894737e-06	2e-06	5.26315789473684e-08
AM9 LinJ.36 diploid	pi	350001	114	6.1578947368421e-06	6e-06	1.57894736842104e-07
AM9 LinJ.36 diploid	pi	400001	109	8.1578947368421e-06	7.94872e-06	2.09174736842104e-07
AM9 LinJ.36 diploid	pi	450001	108	3.07894736842105e-06	3e-06	7.89473684210521e-08
AM9 LinJ.36 diploid	pi	500001	131	1.02134502923977e-05	8.89744e-06	1.31601029239766e-06
AM9 LinJ.36 diploid	pi	550001	260	1.23421052631579e-05	1.20256e-05	3.16505263157892e-07
AM9 LinJ.36 diploid	pi	600001	183	7.13157894736842e-06	6.94872e-06	1.82858947368421e-07
AM9 LinJ.36 diploid	pi	650001	108	2.05263157894737e-06	2e-06	5.26315789473684e-08
AM9 LinJ.36 diploid	pi	700001	95	9.18421052631579e-06	8.94872e-06	2.35490526315789e-07
AM9 LinJ.36 diploid	pi	750001	106	4.05263157894737e-06	3.94872e-06	1.03911578947368e-07
AM9 LinJ.36 diploid	pi	800001	101	4.10526315789474e-06	4e-06	1.05263157894737e-07
AM9 LinJ.36 diploid	pi	850001	86	7.68495758627338e-06	2e-06	5.68495758627338e-06
AM9 LinJ.36 diploid	pi	900001	99	9.47368421052632e-06	9.23077e-06	2.42914210526316e-07
AM9 LinJ.36 diploid	pi	950001	71	3.43358395989975e-06	2e-06	1.43358395989975e-06
AM9 LinJ.36 diploid	pi	1000001	87	5.74561403508772e-06	3e-06	2.74561403508772e-06
AM9 LinJ.36 diploid	pi	1050001	93	2.05263157894737e-06	2e-06	5.26315789473684e-08
AM9 LinJ.36 diploid	pi	1100001	132	1.27105263157895e-05	1.23846e-05	3.25926315789474e-07
AM9 LinJ.36 diploid	pi	1150001	106	1.08421052631579e-05	1.05641e-05	2.78005263157894e-07
AM9 LinJ.36 diploid	pi	1200001	74	6.15587044534413e-06	3e-06	3.15587044534413e-06
AM9 LinJ.36 diploid	pi	1250001	101	2.05263157894737e-06	2e-06	5.26315789473684e-08
AM9 LinJ.36 diploid	pi	1300001	101	8.97368421052632e-06	8.74359e-06	2.30094210526315e-07
AM9 LinJ.36 diploid	pi	1400001	87	7.85167464114833e-06	3e-06	4.85167464114833e-06
AM9 LinJ.36 diploid	pi	1450001	109	2.05263157894737e-06	2e-06	5.26315789473684e-08
AM9 LinJ.36 diploid	pi	1500001	99	8.27485380116959e-06	5.89744e-06	2.37741380116959e-06
AM9 LinJ.36 diploid	pi	1550001	104	4.10526315789474e-06	4e-06	1.05263157894737e-07
AM9 LinJ.36 diploid	pi	1600001	120	2.05263157894737e-06	2e-06	5.26315789473684e-08
AM9 LinJ.36 diploid	pi	1650001	126	5.19642242862057e-06	3.94872e-06	1.24770242862057e-06
AM9 LinJ.36 diploid	pi	1700001	75	2.45789473684211e-05	2.39487e-05	6.30247368421051e-07
AM9 LinJ.36 diploid	pi	1750001	104	6.1578947368421e-06	6e-06	1.57894736842104e-07
AM9 LinJ.36 diploid	pi	1800001	144	1.2e-05	1.16923e-05	3.077e-07
AM9 LinJ.36 diploid	pi	1850001	113	8.1578947368421e-06	7.94872e-06	2.09174736842104e-07
AM9 LinJ.36 diploid	pi	1900001	136	8.71052631578947e-06	8.48718e-06	2.23346315789474e-07
AM9 LinJ.36 diploid	pi	1950001	133	3.07894736842105e-06	3e-06	7.89473684210521e-08
AM9 LinJ.36 diploid	pi	2000001	114	1.47105263157895e-05	1.43333e-05	3.77226315789473e-07
AM9 LinJ.36 diploid	pi	2100001	115	8.84502923976608e-06	7.5641e-06	1.28092923976608e-06
AM9 LinJ.36 diploid	pi	2150001	175	8.1578947368421e-06	7.94872e-06	2.09174736842104e-07
AM9 LinJ.36 diploid	pi	2200001	133	3.07894736842105e-06	3e-06	7.89473684210521e-08
AM9 LinJ.36 diploid	pi	2250001	166	4.22273821809426e-06	3e-06	1.22273821809425e-06
AM9 LinJ.36 diploid	pi	2300001	211	7.02631578947368e-06	6.84615e-06	1.80165789473684e-07
AM9 LinJ.36 diploid	pi	2350001	103	4.05263157894737e-06	3.94872e-06	1.03911578947368e-07
AM9 LinJ.36 diploid	pi	2400001	129	4.5765350877193e-05	4.33333e-05	2.43205087719297e-06
AM9 LinJ.36 diploid	pi	2450001	61	5.13157894736842e-06	5e-06	1.3157894736842e-07
AM9 LinJ.36 diploid	pi	2500001	101	1.12894736842105e-05	1.1e-05	2.89473684210527e-07
AM9 LinJ.36 diploid	pi	2550001	187	3e-05	2.92308e-05	7.69199999999999e-07
AM9 LinJ.36 diploid	pi	2600001	131	3.06439496176338e-05	2.33077e-05	7.33624961763383e-06
AM9 LinJ.36 diploid	pi	2650001	118	2.81842105263158e-05	2.74615e-05	7.22710526315787e-07
AM9 LinJ.36 diploid	pi	2700001	114	6.05263157894737e-06	5.89744e-06	1.55191578947368e-07
AM2 LinJ.36 diploid	tajima_d	1	142	-1.75568735823217	-1.63252	-0.123167358232167
AM2 LinJ.36 diploid	tajima_d	100001	130	-1.83487842409361	-1.83488	1.57590639182636e-06
AM2 LinJ.36 diploid	tajima_d	150001	241	-1.47674777203286	-1.47675	2.22796714388629e-06
AM2 LinJ.36 diploid	tajima_d	200001	199	-0.814708484129275	-0.814708	-4.84129275446499e-07
AM2 LinJ.36 diploid	tajima_d	250001	164	-1.8302775354197	-1.95875	0.128472464580298
AM2 LinJ.36 diploid	tajima_d	300001	202	-1.2022394707053	-0.992143	-0.210096470705299
AM2 LinJ.36 diploid	tajima_d	350001	114	-1.34189688714302	-0.998718	-0.343178887143016
AM2 LinJ.36 diploid	tajima_d	400001	109	-1.57093764971444	-1.57094	2.35028555817252e-06
AM2 LinJ.36 diploid	tajima_d	450001	108	-0.527931082509485	-0.527931	-8.25094849110641e-08
AM2 LinJ.36 diploid	tajima_d	500001	131	-0.384125325050228	-0.384125	-3.25050227678592e-07
AM2 LinJ.36 diploid	tajima_d	550001	260	-2.11392283315595	-1.94728	-0.166642833155945
AM2 LinJ.36 diploid	tajima_d	600001	183	-1.38326423014191	-1.10416	-0.279104230141908
AM2 LinJ.36 diploid	tajima_d	650001	108	-1.52384271087365	-1.52384	-2.71087364889233e-06
AM2 LinJ.36 diploid	tajima_d	700001	95	-1.80344392897583	-1.80344	-3.92897583312291e-06
AM2 LinJ.36 diploid	tajima_d	750001	106	-1.22208341642634	-1.22208	-3.41642634138495e-06
AM2 LinJ.36 diploid	tajima_d	900001	99	-1.09017704255512	-1.09018	2.95744488298944e-06
AM2 LinJ.36 diploid	tajima_d	950001	71	-0.655311539819802	-0.655312	4.60180197725535e-07
AM2 LinJ.36 diploid	tajima_d	1000001	87	-1.28246934623258	-1.28247	6.53767424863005e-07
AM2 LinJ.36 diploid	tajima_d	1100001	132	-1.73934831986435	-1.73935	1.68013565438052e-06
AM2 LinJ.36 diploid	tajima_d	1150001	106	-1.58476482897666	-1.58476	-4.82897666387316e-06
AM2 LinJ.36 diploid	tajima_d	1200001	74	-1.28246934623258	-1.28247	6.53767424863005e-07
AM2 LinJ.36 diploid	tajima_d	1250001	101	-1.52384271087365	-1.52384	-2.71087364889233e-06
AM2 LinJ.36 diploid	tajima_d	1300001	101	-0.402293504258142	-0.402294	4.95741857620136e-07
AM2 LinJ.36 diploid	tajima_d	1350001	94	-1.60472544278878	-1.60473	4.55721121639385e-06
AM2 LinJ.36 diploid	tajima_d	1400001	87	0.602475236473652	0.602475	2.3647365210433e-07
AM2 LinJ.36 diploid	tajima_d	1450001	109	-0.405064921425451	-0.405065	7.85745487008604e-08
AM2 LinJ.36 diploid	tajima_d	1500001	99	-1.28246934623258	-1.28247	6.53767424863005e-07
AM2 LinJ.36 diploid	tajima_d	1550001	104	-1.6238726045598	-1.62387	-2.6045598024993e-06
AM2 LinJ.36 diploid	tajima_d	1600001	120	-1.34287948131218	-1.34288	5.18687823358732e-07
AM2 LinJ.36 diploid	tajima_d	1700001	75	-1.52384271087365	-1.52384	-2.71087364889233e-06
AM2 LinJ.36 diploid	tajima_d	1750001	104	-1.6704350222213	-1.67044	4.97777869878924e-06
AM2 LinJ.36 diploid	tajima_d	1850001	113	-1.34285527603881	-1.34286	4.723961191333e-06
AM2 LinJ.36 diploid	tajima_d	1900001	136	-1.52384271087365	-1.52384	-2.71087364889233e-06
AM2 LinJ.36 diploid	tajima_d	1950001	133	-1.66113276869807	-1.66113	-2.76869806858926e-06
AM2 LinJ.36 diploid	tajima_d	2000001	114	-2.00080250267927	-1.86628	-0.134522502679267
AM2 LinJ.36 diploid	tajima_d	2050001	111	-1.1041644353874	-1.10416	-4.43538739691718e-06
AM2 LinJ.36 diploid	tajima_d	2100001	115	-0.0709551851443064	-0.0709552	1.48556935503086e-08
AM2 LinJ.36 diploid	tajima_d	2150001	175	-1.62202499311493	-1.62202	-4.99311492951904e-06
AM2 LinJ.36 diploid	tajima_d	2200001	133	-1.79958534273943	-1.79959	4.6572605714168e-06
AM2 LinJ.36 diploid	tajima_d	2300001	211	-1.66113276869807	-1.66113	-2.76869806836721e-06
AM2 LinJ.36 diploid	tajima_d	2350001	103	-1.38478285209178	-1.38478	-2.85209178030321e-06
AM2 LinJ.36 diploid	tajima_d	2400001	129	-2.01888698696607	-2.01889	3.01303393079877e-06
AM2 LinJ.36 diploid	tajima_d	2450001	61	-1.22208341642634	-1.22208	-3.41642634138495e-06
AM2 LinJ.36 diploid	tajima_d	2550001	187	-1.87020168364194	-1.80052	-0.0696816836419407
AM2 LinJ.36 diploid	tajima_d	2600001	131	-1.74126821861722	-1.67034	-0.0709282186172182
AM2 LinJ.36 diploid	tajima_d	2650001	118	-0.886704424992148	-0.886704	-4.24992147585179e-07
AM2 LinJ.36 diploid	tajima_d	2700001	114	-1.09052876747322	-1.09053	1.23252678085883e-06
AM9 LinJ.36 diploid	tajima_d	1	142	-1.798066081165	-1.79807	3.91883499895052e-06
AM9 LinJ.36 diploid	tajima_d	50001	90	-1.2961278637257	-1.29613	2.13627429568319e-06
AM9 LinJ.36 diploid	tajima_d	100001	130	-2.10023096198314	-2.10023	-9.61983141589684e-07
AM9 LinJ.36 diploid	tajima_d	150001	241	-2.00624754930837	-1.90075	-0.105497549308367
AM9 LinJ.36 diploid	tajima_d	200001	199	0.0563581585798594	0.0563582	-4.14201406229164e-08
AM9 LinJ.36 diploid	tajima_d	250001	164	-1.39340583020924	-2.01123	0.617824169790759
AM9 LinJ.36 diploid	tajima_d	300001	202	-1.48661900459083	-1.48662	9.95409174864292e-07
AM9 LinJ.36 diploid	tajima_d	350001	114	-2.10096300044147	-2.10096	-3.00044147261147e-06
AM9 LinJ.36 diploid	tajima_d	400001	109	-2.10023096198314	-2.10023	-9.61983141589684e-07
AM9 LinJ.36 diploid	tajima_d	450001	108	-1.71620927922594	-1.71621	7.20774060436469e-07
AM9 LinJ.36 diploid	tajima_d	500001	131	-2.09772427693987	-2.02042	-0.0773042769398713
AM9 LinJ.36 diploid	tajima_d	550001	260	-0.321463587569721	-0.321464	4.12430278762255e-07
AM9 LinJ.36 diploid	tajima_d	600001	183	-2.01122585469137	-2.01123	4.14530862657969e-06
AM9 LinJ.36 diploid	tajima_d	650001	108	-1.48661900459083	-1.48662	9.95409174864292e-07
AM9 LinJ.36 diploid	tajima_d	700001	95	-2.17365079668504	-2.17365	-7.9668504504582e-07
AM9 LinJ.36 diploid	tajima_d	750001	106	-1.56960248777344	-1.5696	-2.48777343947459e-06
AM9 LinJ.36 diploid	tajima_d	800001	101	-1.87967107680403	-1.87967	-1.07680402972044e-06
AM9 LinJ.36 diploid	tajima_d	850001	86	-1.74043464221882	-1.48662	-0.253814642218823
AM9 LinJ.36 diploid	tajima_d	900001	99	-1.54551416870298	-1.54551	-4.16870298214356e-06
AM9 LinJ.36 diploid	tajima_d	950001	71	-1.66469878493182	-1.48662	-0.178078784931818
AM9 LinJ.36 diploid	tajima_d	1000001	87	-1.67978103304269	-1.71621	0.0364289669573066
AM9 LinJ.36 diploid	tajima_d	1050001	93	-1.48661900459083	-1.48662	9.95409174864292e-07
AM9 LinJ.36 diploid	tajima_d	1100001	132	-0.265990747560667	-0.265991	2.52439333381371e-07
AM9 LinJ.36 diploid	tajima_d	1150001	106	-1.40119879015326	-1.4012	1.2098467432331e-06
