sample	population	population_proportion	coverage_rounded	msl_status
ERR230194	V4	0.858706	4	MSL+
ERR271200	V4	0.99988	2	MSL+
ERR524883	V4	0.655693	4	MSL+
SRR12506675	V4	0.63275	4	MSL+
SRR12506676	V4	0.680599	4	MSL+
SRR20748329	V4	0.532985	4	MSL+
SRR20748338	V4	0.522635	4	MSL+
SRR20748478	V4	0.512507	4	MSL+
SRR6369628	V4	0.894057	4	MSL+
SRR6369631	V4	0.999872	4	MSL+
SRR6369636	V4	0.632734	4	MSL+
ERR205776	V5	0.689162	4	MSL+
SRR12506679	V5	0.99988	4	MSL+
SRR12506680	V5	0.99988	4	MSL+
SRR12506681	V5	0.99988	4	MSL+
SRR12506682	V5	0.70732	4	MSL+
SRR12506684	V5	0.99988	4	MSL+
SRR12506685	V5	0.999879	3	MSL+
SRR12506686	V5	0.99988	4	MSL+
SRR12506687	V5	0.657237	3	MSL+
SRR12506688	V5	0.999877	4	MSL+
SRR12506689	V5	0.99988	3	MSL+
SRR20748298	V5	0.99988	4	MSL+
SRR20748325	V5	0.587475	4	MSL+
SRR20748335	V5	0.99988	4	MSL+
SRR20748348	V5	0.806961	4	MSL+
SRR20748375	V5	0.589189	4	MSL+
SRR20748385	V5	0.813481	4	MSL+
SRR20748389	V5	0.99988	4	MSL+
SRR20748400	V5	0.999876	4	MSL+
SRR20748482	V5	0.99988	4	MSL+
ERR3550120	V6	0.539082	0	MSL-
SRR10478768	V6	0.578569	0	MSL-
SRR12506697	V6	0.847144	0	MSL-
SRR12506700	V6	0.567858	0	MSL-
SRR12506728	V6	0.966133	0	MSL-
SRR13744603	V6	0.99988	0	MSL-
SRR13744619	V6	0.99988	0	MSL-
SRR13744620	V6	0.902367	0	MSL-
SRR13744621	V6	0.846439	0	MSL-
SRR13744624	V6	0.999876	0	MSL-
SRR16972313	V6	0.99988	0	MSL-
SRR16972317	V6	0.792922	0	MSL-
SRR16972324	V6	0.686792	0	MSL-
SRR16972341	V6	0.854233	0	MSL-
SRR20748306	V6	0.938679	0	MSL-
SRR20748307	V6	0.96962	0	MSL-
SRR20748312	V6	0.874572	0	MSL-
SRR20748316	V6	0.99988	0	MSL-
SRR20748318	V6	0.947339	0	MSL-
SRR20748320	V6	0.99988	0	MSL-
SRR20748343	V6	0.99988	0	MSL-
SRR20748349	V6	0.99988	0	MSL-
SRR20748355	V6	0.99988	0	MSL-
SRR20748361	V6	0.427501	0	MSL-
SRR20748364	V6	0.999875	0	MSL-
SRR20748367	V6	0.99988	0	MSL-
SRR20748371	V6	0.754208	0	MSL-
SRR20748374	V6	0.99988	0	MSL-
SRR20748378	V6	0.832884	0	MSL-
SRR20748382	V6	0.64989	0	MSL-
SRR20748384	V6	0.786793	0	MSL-
SRR20748394	V6	0.613373	3	MSL+
SRR20748402	V6	0.99988	0	MSL-
SRR20748417	V6	0.99988	0	MSL-
SRR20748418	V6	0.682425	2	MSL+
SRR20748421	V6	0.99988	0	MSL-
SRR20748422	V6	0.999876	0	MSL-
SRR20748423	V6	0.99988	0	MSL-
SRR20748424	V6	0.99988	0	MSL-
SRR20748427	V6	0.741042	0	MSL-
SRR20748429	V6	0.99988	0	MSL-
SRR20748430	V6	0.99988	0	MSL-
SRR20748431	V6	0.99988	0	MSL-
SRR20748432	V6	0.99988	0	MSL-
SRR20748433	V6	0.99988	0	MSL-
SRR20748435	V6	0.979939	0	MSL-
SRR20748436	V6	0.99988	0	MSL-
SRR20748438	V6	0.85196	0	MSL-
SRR20748444	V6	0.823442	0	MSL-
SRR20748459	V6	0.99988	0	MSL-
SRR20748467	V6	0.474877	4	MSL+
SRR7970017	V6	0.881597	0	MSL-
SRR7970018	V6	0.71892	0	MSL-
SRR7970020	V6	0.896212	0	MSL-
SRR7970021	V6	0.980355	0	MSL-
SRR7970022	V6	0.609731	4	MSL+
SRR7970025	V6	0.537515	0	MSL-
SRR7970027	V6	0.581556	0	MSL-
SRR7970029	V6	0.97997	0	MSL-
ERR205735	V7	0.999874	4	MSL+
ERR205787	V7	0.99988	4	MSL+
ERR3550118	V7	0.99988	4	MSL+
ERR3550132	V7	0.99988	3	MSL+
ERR3550134	V7	0.549078	3	MSL+
ERR3550144	V7	0.99988	3	MSL+
SRR20748468	V7	0.99988	4	MSL+
SRR20748477	V7	0.99988	4	MSL+
SRR8608748	V7	0.999879	4	MSL+
ERR205739	V8	0.99988	4	MSL+
ERR205759	V8	0.459659	4	MSL+
ERR205768	V8	0.431787	4	MSL+
ERR205785	V8	0.999879	3	MSL+
ERR205797	V8	0.99988	3	MSL+
ERR230189	V8	0.99988	4	MSL+
ERR230190	V8	0.99988	4	MSL+
ERR230193	V8	0.99988	4	MSL+
ERR304752	V8	0.99988	4	MSL+
ERR3550152	V8	0.99988	4	MSL+
SRR20748481	V8	0.734411	3	MSL+
ERR013294	V9	0.77455	4	MSL+
SRR12506670	V9	0.99988	0	MSL-
SRR12506674	V9	0.828009	4	MSL+
SRR12506678	V9	0.99988	4	MSL+
SRR12506692	V9	0.99988	2	MSL+
SRR12506693	V9	0.99988	2	MSL+
SRR12506695	V9	0.99988	1	MSL+
SRR12506696	V9	0.99988	2	MSL+
SRR12506715	V9	0.461149	0	MSL-
SRR12506718	V9	0.99988	0	MSL-
SRR12506719	V9	0.996297	0	MSL-
SRR12506720	V9	0.99988	0	MSL-
SRR12506721	V9	0.974593	0	MSL-
SRR12506722	V9	0.926058	0	MSL-
SRR12506723	V9	0.964146	0	MSL-
SRR12506724	V9	0.99988	0	MSL-
SRR12506726	V9	0.99988	0	MSL-
SRR20748297	V9	0.658021	4	MSL+
SRR20748304	V9	0.628732	2	MSL+
SRR20748461	V9	0.499735	0	MSL-
SRR20748462	V9	0.454683	0	MSL-
SRR8842312	V9	0.673985	0	MSL-
SRR10478770	V10	0.469731	2	MSL+
SRR12506701	V10	0.99987	0	MSL-
SRR12506703	V10	0.99988	0	MSL-
SRR12506706	V10	0.99988	0	MSL-
SRR12506707	V10	0.99988	0	MSL-
SRR12506708	V10	0.99988	0	MSL-
SRR12506709	V10	0.99988	0	MSL-
SRR12506710	V10	0.99988	0	MSL-
SRR12506711	V10	0.99988	0	MSL-
SRR13744602	V10	0.682973	0	MSL-
SRR13744609	V10	0.743654	2	MSL+
SRR13744618	V10	0.929712	0	MSL-
SRR13744623	V10	0.874251	2	MSL+
SRR13744625	V10	0.99988	0	MSL-
SRR13744628	V10	0.933947	0	MSL-
SRR13744631	V10	0.893164	0	MSL-
SRR13744680	V10	0.469731	2	MSL+
SRR13744682	V10	0.910205	0	MSL-
SRR20748293	V10	0.99988	0	MSL-
SRR20748294	V10	0.99988	0	MSL-
SRR20748295	V10	0.99988	0	MSL-
SRR20748296	V10	0.99988	0	MSL-
SRR20748302	V10	0.99988	0	MSL-
SRR20748303	V10	0.99988	0	MSL-
SRR20748305	V10	0.99988	0	MSL-
SRR20748311	V10	0.470105	0	MSL-
SRR20748313	V10	0.99988	0	MSL-
SRR20748315	V10	0.99988	0	MSL-
SRR20748323	V10	0.989483	0	MSL-
SRR20748346	V10	0.99988	0	MSL-
SRR20748360	V10	0.573281	0	MSL-
SRR20748368	V10	0.622343	0	MSL-
SRR20748373	V10	0.584923	0	MSL-
SRR20748380	V10	0.962031	0	MSL-
SRR20748381	V10	0.596916	0	MSL-
SRR20748396	V10	0.965037	0	MSL-
SRR20748397	V10	0.452211	1	MSL+
SRR20748403	V10	0.99988	0	MSL-
SRR20748405	V10	0.573357	2	MSL+
SRR20748407	V10	0.999874	0	MSL-
SRR20748408	V10	0.99988	0	MSL-
SRR20748409	V10	0.620355	0	MSL-
SRR20748410	V10	0.99988	0	MSL-
SRR20748413	V10	0.99988	0	MSL-
SRR20748414	V10	0.99988	0	MSL-
SRR20748415	V10	0.999875	0	MSL-
SRR20748416	V10	0.99988	0	MSL-
SRR7970028	V10	0.934185	0	MSL-
SRR7970030	V10	0.971873	0	MSL-
SRR7970038	V10	0.611359	0	MSL-
ERR984216	V11	0.841754	0	MSL-
ERR984219	V11	0.819053	0	MSL-
ERR984220	V11	0.806797	0	MSL-
SRR12506671	V11	0.964987	0	MSL-
SRR12506672	V11	0.995073	0	MSL-
SRR12506673	V11	0.999876	0	MSL-
SRR12506698	V11	0.99988	0	MSL-
SRR12506699	V11	0.990328	0	MSL-
SRR12506712	V11	0.703401	0	MSL-
SRR12506713	V11	0.672061	0	MSL-
SRR12506714	V11	0.58708	0	MSL-
SRR12506725	V11	0.562139	0	MSL-
SRR12506727	V11	0.894527	0	MSL-
SRR13744601	V11	0.513961	4	MSL+
SRR13744614	V11	0.511012	3	MSL+
SRR20748299	V11	0.99988	0	MSL-
SRR20748300	V11	0.99988	0	MSL-
SRR20748301	V11	0.764224	0	MSL-
SRR20748309	V11	0.515253	0	MSL-
SRR20748310	V11	0.99988	0	MSL-
SRR20748314	V11	0.594859	0	MSL-
SRR20748319	V11	0.920988	0	MSL-
SRR20748340	V11	0.99988	0	MSL-
SRR20748341	V11	0.99988	0	MSL-
SRR20748342	V11	0.99988	0	MSL-
SRR20748344	V11	0.99988	0	MSL-
SRR20748345	V11	0.99988	0	MSL-
SRR20748347	V11	0.99988	0	MSL-
SRR20748350	V11	0.99988	0	MSL-
SRR20748351	V11	0.99988	0	MSL-
SRR20748352	V11	0.99988	0	MSL-
SRR20748356	V11	0.632193	0	MSL-
